Image;Jaccard Index Axial;Jaccard Index Coronal;Jaccard Index Sagittal;Panoptic Quality Axial;Panoptic Quality Coronal;Panoptic Quality Sagittal;Dice Coefficient Axial;Dice Coefficient Coronal;Dice Coefficient Sagittal
BraTS20_Training_001;0.8994487524032593;0.9199041128158569;0.8242237567901611;0.8222552287290175;0.8370049047588555;0.8210111922895804;0.8929481971254868;0.9176087737463813;0.7980251582236928
BraTS20_Training_002;0.8977991342544556;0.8958739042282104;0.9175734519958496;0.8291921088740174;0.8371605459478154;0.845290400838433;0.8880477507643034;0.8865989596234828;0.9128760437716856
BraTS20_Training_003;0.8582817316055298;0.8696092367172241;0.8202459812164307;0.8449131633176037;0.8437624510511179;0.8381991511171958;0.8361734435633541;0.8516240157480315;0.7838713047111668
BraTS20_Training_004;0.7571418881416321;0.875918984413147;0.8423303365707397;0.8280754218078421;0.8295006519366606;0.8300796332556954;0.6875161540449729;0.8631290095301665;0.8213772683298642
BraTS20_Training_005;0.7206122875213623;0.7252703905105591;0.0;0.8214818805240508;0.8136373065175067;0.0;0.6242212069067822;0.636098981077147;0.0
BraTS20_Training_006;0.8714994788169861;0.0;0.9009594917297363;0.8158917188634646;0.0;0.8196507504908306;0.8575776697227274;0.0;0.8972703468560566
BraTS20_Training_007;0.8542348146438599;0.0;0.8105672001838684;0.817750966123985;0.0;0.8144462750483383;0.832137030995106;0.0;0.7728732773805823
BraTS20_Training_008;0.7228798866271973;0.7838833332061768;0.7730022668838501;0.8125590802374066;0.8111325759441129;0.8096288552707327;0.6187771466755764;0.7269089696565522;0.7078215901745314
BraTS20_Training_009;0.7947748899459839;0.0;0.0;0.8072034246513144;0.0;0.0;0.7595099383139137;0.0;0.0
BraTS20_Training_010;0.8105144500732422;0.9124040603637695;0.7568204402923584;0.8064716569875766;0.809017061541104;0.806788695439773;0.7691021967526266;0.9056187521544296;0.6850791512293701
BraTS20_Training_011;0.7679014801979065;0.8345998525619507;0.7614362239837646;0.8039592088407327;0.8037054600461604;0.801712080681894;0.703133589884552;0.806815691431076;0.696090242032636
BraTS20_Training_012;0.8372378349304199;0.8382860422134399;0.8238784074783325;0.801604124624246;0.8013462190657362;0.8005488905015308;0.8083878414774913;0.8105042343252272;0.7906139682979165
BraTS20_Training_013;0.8704122304916382;0.0;0.0;0.8017350330024692;0.0;0.0;0.8542076771653543;0.0;0.0
BraTS20_Training_014;0.6807804107666016;0.8403180837631226;0.7503031492233276;0.7953943021883876;0.7954247490386007;0.7929769984440738;0.5543373105449855;0.8175400488732012;0.6847593918834024
BraTS20_Training_015;0.80620276927948;0.7410334348678589;0.7367202043533325;0.7929531767223084;0.7906692962565389;0.7877191745264531;0.765730206640353;0.6615477431031646;0.6581349918271339
BraTS20_Training_016;0.7831109762191772;0.0;0.7978675365447998;0.7858615454139564;0.0;0.7845644267131038;0.734031372854307;0.0;0.7610820876222004
BraTS20_Training_017;0.8197306394577026;0.7852900624275208;0.7727304100990295;0.7848043446619373;0.7807045891345789;0.7783573457265397;0.7856942653736196;0.7344905175184828;0.7165822121265071
BraTS20_Training_018;0.7318593263626099;0.7737886905670166;0.6649014949798584;0.7774267080869873;0.7765303040966678;0.7756775137474778;0.6357366771159875;0.7107664233576643;0.5030425963488844
