Image;Perspective;Segmented;Similarity;Area Original Mask;Area Mask
BraTS20_Training_026;Sagittal;True;0.24072779499055147;27698.0;9458.0
BraTS20_Training_027;Coronal;True;0.16430250607765265;18731.0;12265.0
BraTS20_Training_027;Axial;True;0.13912573974149461;12023.0;8213.0
BraTS20_Training_027;Sagittal;True;0.2901537994740202;20940.5;11018.5
BraTS20_Training_028;Coronal;True;0.7906235475727714;10765.5;5108.5
BraTS20_Training_028;Axial;False;0.0;0.0;0.0
BraTS20_Training_028;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_029;Coronal;True;0.0634985503362778;7616.5;6368.0
BraTS20_Training_029;Axial;True;0.04356966097075585;5233.5;3762.0
BraTS20_Training_029;Sagittal;True;0.05147117333291262;6760.0;4655.5
BraTS20_Training_030;Coronal;False;0.0;0.0;0.0
BraTS20_Training_030;Axial;False;0.0;0.0;0.0
BraTS20_Training_030;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_031;Coronal;True;0.35662334920466354;24447.0;6321.5
BraTS20_Training_031;Axial;True;0.9202464869836411;14718.0;4622.0
BraTS20_Training_031;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_032;Coronal;False;0.0;0.0;0.0
BraTS20_Training_032;Axial;True;0.7701408006898041;8232.5;22577.0
BraTS20_Training_032;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_033;Coronal;True;0.0490139753625945;16792.0;15441.0
BraTS20_Training_033;Axial;True;0.04028817704651916;8862.0;6634.5
BraTS20_Training_033;Sagittal;True;0.07993236693733821;15663.0;10774.0
BraTS20_Training_034;Coronal;False;0.0;0.0;0.0
BraTS20_Training_034;Axial;True;0.08982147857326656;13810.5;10903.0
BraTS20_Training_034;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_035;Coronal;True;0.11792232802621355;29514.0;11859.0
BraTS20_Training_035;Axial;False;0.0;0.0;0.0
BraTS20_Training_035;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_036;Coronal;True;0.012870053455581676;8123.5;5120.5
BraTS20_Training_036;Axial;True;0.10261522406761034;4928.5;3225.5
BraTS20_Training_036;Sagittal;False;0.0;0.0;0.0
BraTS20_Training_037;Coronal;True;0.830405969947957;15041.5;15530.0
BraTS20_Training_037;Axial;True;0.7399208441591886;14921.5;6757.0
