X;Y;Mean;Standard Deviation
140;356;61,37470002712798;51,06984475547872
140;357;61,290073153956776;51,04103196485237
140;358;61,18932705921546;51,006374446911956
140;359;61,11327069388434;50,985439342062264
140;360;61,01990700377797;50,95359961291418
140;361;60,930163601302176;50,91748406721843
140;362;60,85650985588869;50,88583476602105
140;363;60,7675255386906;50,85190030014962
140;364;60,68492782951659;50,815292524802906
140;365;60,60506021115143;50,774939247512535
140;366;60,52509215213855;50,734112380947906
140;367;60,45805907520158;50,69073211720311
140;368;60,39767475299386;50,65185402392176
140;369;60,32037261218376;50,60094163933105
140;370;60,2239650612044;50,54394343692406
140;371;60,16217543428887;50,517497236194686
140;372;60,07125929557898;50,473295471613824
140;373;59,972164969491665;50,4253972839458
140;374;59,893603585251576;50,39460204716849
140;375;59,79650914417072;50,36439373379223
140;376;59,698260798894715;50,33922067597939
140;377;59,59691589733185;50,31138956821203
140;378;59,50138841032086;50,29039616696407
140;379;59,408010367310574;50,263788139686326
140;380;59,33210630637919;50,24423557882349
140;381;59,24806530480289;50,222861011346
140;382;59,163820251937985;50,19995901378584
140;383;59,08417209593158;50,17687893097135
141;355;61,45233320800435;51,10349040847645
141;384;58,998025467440364;50,15031881335586
141;385;58,9322702746235;50,12817792799459
141;386;58,86746066873214;50,10246468575298
142;350;61,966074925769156;51,25407775161855
142;351;61,86022364217252;51,22206377007936
142;352;61,747712774886686;51,18817953881864
142;353;61,634994448983015;51,158602784833406
142;354;61,53264870743747;51,12701559175765
142;387;58,79375703489307;50,07869364893936
142;388;58,73666030725977;50,05877814867347
143;347;62,299676197329156;51,378361378783225
143;348;62,19648893020111;51,33930148835694
143;349;62,076689445709945;51,29486760827668
143;389;58,65542424911218;50,02142841640656
143;390;58,58304439322578;49,99931649108057
144;344;62,59152953182804;51,52609431047848
144;345;62,504501061571126;51,48246131089615
144;346;62,40289934934192;51,426590077880135
144;391;58,48209212053303;49,97356708008654
144;392;58,40410479825736;49,94621692141833
145;342;61,277406136604874;58,28981694933589
145;343;nan;nan
145;393;58,28084104691988;49,901409405981994
145;394;58,209384771654484;49,876062958445814
146;340;61,03666273236943;58,164903534211625
146;341;61,16569330474853;58,23354535102762
146;395;58,108195678533804;49,83389071208987
146;396;58,03197570560915;49,8052308851495
147;337;60,64319914012116;57,945487430420066
147;338;60,76938895417156;58,018300808032116
147;339;60,89694516010305;58,0909484471543
147;397;57,92294283110812;49,75342756720481
148;334;60,22290398467247;57,73344933701134
148;335;60,37377814521228;57,800721561095706
148;336;60,51263740281264;57,86934015777099
148;398;57,81656980192148;49,706799956844826
149;333;60,05981376224453;57,6590378081512
149;399;57,697045647411734;49,65219847339063
150;332;59,87958430786295;57,58469813804057
150;400;57,605012896493335;49,62504849628471
151;331;59,69136277314359;57,51083382524792
151;401;57,48398443640937;49,580816929444076
152;330;59,52553869753841;57,43998862755509
152;402;57,36041495077852;49,545210745984875
153;329;59,35832775599962;57,36888869175336
153;403;57,23040491613989;49,5059938202736
154;327;59,06601484441907;57,23524230297969
154;328;59,20227451541378;57,298242712651955
154;403;57,19756684335087;49,50201664964392
155;325;58,789494882486736;57,104684592573804
155;326;58,92703017067439;57,16672095817962
155;404;57,068017253156896;49,46629970874473
156;316;57,6795160578687;56,496927704530655
156;317;57,79228638596001;56,569458478177225
156;318;57,91039309459932;56,64153715057357
156;319;58,022536528345995;56,708048297102856
156;320;58,144356709388695;56,77834857493994
156;321;58,267147251508675;56,84665595962521
156;322;58,38367029915033;56,90888587025579
156;323;58,51087059045463;56,9752067882587
156;324;58,63962665406427;57,04026306266117
156;405;56,93612669471716;49,432033916085565
156;406;56,85312603374132;49,40455497474289
156;407;56,7776719967359;49,382875775296064
157;309;56,89070064857952;55,94714275815448
157;310;56,99583419167296;56,02708658030005
157;311;57,08865288896025;56,10235542231732
157;312;57,180368182758386;56,176222937287655
157;313;57,29059829059829;56,247739480596806
157;314;57,41334872979215;56,33000338536923
157;315;57,53102426375255;56,40242687054821
157;408;56,65356208200058;49,34166887185273
157;409;56,57603856130706;49,30962262123619
158;307;56,669477081108106;55,76671968884657
158;308;56,76475945447508;55,8497611218656
158;410;56,46644904581627;49,26046158769072
159;305;56,48303934871099;55,595040736464796
159;306;56,56688345532417;55,669648919864066
159;411;56,36538906454847;49,20836002738329
159;412;56,31079103442964;49,17887563149799
159;413;56,236510134225604;49,145598359557106
160;302;56,18136297294263;55,31038644593881
160;303;56,270130980780486;55,39327383695737
160;304;56,35611527013619;55,47753466024256
160;414;56,109868181207666;49,09129566499162
160;415;56,01871719222959;49,058963326821974
161;299;55,84687736816297;55,01107956620588
161;300;55,946705383069016;55,100160355365986
161;301;56,04157710908114;55,188399944477354
161;416;55,87036789297659;49,00560489515802
161;417;55,78522349887392;48,96924140529668
162;297;55,60892801703109;54,80399408304302
162;298;55,71346978687468;54,89137393368817
162;417;55,73659820355856;48,945274241697255
163;295;55,338911949130086;54,59724875176048
163;296;55,46443024258641;54,68577148072744
163;418;55,61328080392828;48,876517074096924
164;294;55,20794541652911;54,495690938272936
164;419;55,493342450661956;48,80616302005587
165;293;55,05878348704436;54,37840658875016
165;419;55,44185075533288;48,77638786995111
166;291;54,848862369680674;54,18635067006876
166;292;54,936371001291846;54,26549464967095
166;420;55,31271419104421;48,702999386545706
167;288;54,52354702895091;53,90125694317047
167;289;54,54853956568143;53,94413068801791
167;290;54,711879181467516;54,069400907657595
167;421;55,17910250354275;48,61766218934317
168;286;54,308276844695826;53,70334576194386
168;287;54,39484672132921;53,78091314014367
168;422;55,066006787330316;48,54427157743087
169;285;54,18310344085559;53,580747820843015
169;423;54,957271872060204;48,47458974240695
170;283;54,01677953025887;53,37539140332523
170;284;54,085636426057846;53,46328328428931
170;424;54,85003098533361;48,39319287217007
171;281;53,899153572266165;53,192617887354444
171;282;53,95042610905829;53,264383544036406
171;425;54,72874144878643;48,30241260963387
172;279;53,808738296923764;53,00684263548416
172;280;53,834226304375555;53,075556333134756
172;426;54,608755002056924;48,214084135900485
172;427;54,539599245550804;48,165999383453496
172;428;54,47729095555182;48,11333285505043
172;429;54,418073097127525;48,067287671923886
172;430;54,35276170632337;48,02076468517418
173;276;53,70237818903121;52,76371108691809
173;277;53,73662290437834;52,83259964145597
173;278;53,767623080995236;52,89778589089169
173;431;54,225944140298786;47,924715196057385
173;432;54,168733203595586;47,88061556922407
174;273;53,593634763660745;52,52872072226225
174;274;53,61873373079184;52,590797221066694
174;275;53,64761063435975;52,65609593005501
174;433;54,07062282713218;47,79296294398059
174;434;54,030812997616984;47,747540856867055
174;435;53,99239655999705;47,69887700634687
175;272;53,55632596800468;52,42912329183562
175;436;53,9306514891971;47,61283017602268
175;437;53,901398601398604;47,570036253575374
176;270;53,48629724282657;52,27052316905779
176;271;53,500104105938206;52,32227848002264
176;438;53,84295395691381;47,48200696188966
176;439;53,807288608338226;47,42979021378973
176;440;53,78582688712102;47,39664868669528
177;268;53,41032108669134;52,10767592566263
177;269;53,434456618545596;52,16733508010926
177;441;53,58599064820757;47,169951822571434
177;442;53,67574334326285;47,25670164075417
177;443;53,64224539361955;47,21294431016297
178;264;53,34340862422998;51,854694479002035
178;265;53,35207879261422;51,9056527096432
178;266;53,36191240966088;51,95734467116643
178;267;53,37534020618557;52,012019488537575
178;444;53,574094661830905;47,1357210037022
178;445;53,53862821143097;47,09343591492923
178;446;53,503047282915205;47,054141791258175
179;260;53,316733677572095;51,60678396128496
179;261;53,31715739359637;51,655475257979745
179;262;53,319516336927386;51,705499357975114
179;263;53,304610655737704;51,7441948439951
179;447;53,42898666569778;46,97333154239975
179;448;53,4179296825368;46,95151673243297
180;259;53,3128398330109;51,5150718738676
180;449;53,35846114797491;46,86687353079283
180;450;53,33766374952438;46,83896485353943
181;257;53,29719087440123;51,369253899868305
181;258;53,30359864263507;51,419566460852764
181;451;53,29641228006661;46,763101820306794
181;452;53,27608793992581;46,72806374715494
182;256;53,282395592822134;51,270217711373284
182;453;53,223294827991396;46,647201241904575
182;454;53,20103344233861;46,61819692654808
183;254;53,26335438823078;51,12652662487157
183;255;53,26413416851889;51,17739804526954
183;455;53,13298794136761;46,53137366991994
184;248;53,206598680263944;50,78426350912926
184;249;53,20790116535181;50,83467554494475
184;250;53,22525864143075;50,88421275888364
184;251;53,22025494329017;50,90658803992812
184;252;53,113415150232754;50,885077666287735
184;253;53,25948895556048;51,051775798799554
184;456;53,07191675833589;46,45836788899729
184;457;53,04679501045497;46,43555347554301
185;246;53,19518753859331;50,64885332751389
185;247;53,1894323213787;50,68820898280769
185;458;52,96601469634753;46,355415260623
185;459;52,937324501403985;46,33663992001208
185;460;52,90843841629041;46,320031921295275
186;245;53,18282069623271;50,55290364692293
186;461;52,806972773834126;46,244343116504545
186;462;52,76036709110828;46,22474552246949
186;463;52,71600904749937;46,19057623566358
187;243;53,1581854902582;50,42043361822436
187;244;53,15718307625203;50,45584305380873
187;464;52,602370747628356;46,12027798835103
188;242;53,14967209228824;50,33414636789461
188;465;52,49783371526783;46,07405172358801
188;466;52,44546235327798;46,04653343013791
189;241;53,12469697865547;50,24099669900594
189;467;52,324598538842146;45,988870934716296
190;241;53,09981297371789;50,18209305908036
190;468;52,18839494284848;45,925579756863264
191;241;53,089248495811866;50,13705426696107
191;469;52,03206555624833;45,823313722992374
192;240;53,065230612284935;50,04916973156444
192;470;51,94319434076286;45,81519749045143
193;240;53,042382678553935;49,999526857027796
193;471;51,835694503621646;45,764076158902945
194;240;53,01644060830251;49,94727147283285
194;471;51,77085329075749;45,732842750184126
195;240;52,98948191593353;49,891268743128165
195;471;51,689717538166924;45,68350228977649
196;240;52,962521727242546;49,843396156027225
196;472;51,59182878688641;45,6570027672254
196;474;51,50979664014147;45,62516912705087
196;475;51,461898702859365;45,61076161208914
196;476;51,42363809792977;45,593998569613426
197;240;52,93351022319338;49,794278558941016
197;473;51,46204019585315;45,59284257189263
197;477;51,32209460293936;45,553981837203224
198;239;52,87115429550588;49,707614698661196
198;478;51,230428959148426;45,51950394643028
199;239;52,82891819348816;49,65537693581942
199;479;51,14183835182251;45,48638912039253
200;239;52,792805392071166;49,60900927607988
200;480;51,05666086161099;45,46116799041539
200;481;51,02685496210056;45,44915105717009
201;239;52,75012609117362;49,55625600954355
201;482;50,935945186226284;45,42597718989509
202;238;52,678233438485805;49,457374968639904
202;483;50,85201179692437;45,40154361416713
203;237;52,603154683759364;49,36245436179421
203;484;50,763937129424974;45,380484245800034
204;237;52,55731827206662;49,31183791975896
204;485;50,63034739410536;45,271961234895045
205;236;52,46189633958782;49,20104450776321
205;486;50,611812941320764;45,327555587012995
206;235;52,37304616328801;49,10033253543788
206;487;50,52735168452756;45,30602214478424
207;235;52,315982994369755;49,04177368622776
207;488;50,44548079447021;45,281837476405144
207;489;50,41850659575213;45,27541092761022
208;235;52,26252892024704;48,99015695287931
208;490;50,33765802311552;45,2512854964541
209;234;52,17199542159481;48,91087973657655
209;491;50,256146788990826;45,226573607239594
210;234;52,116980341359344;48,865452584193584
210;487;50,300353109813656;45,24070723327783
210;492;50,171003003422506;45,20673534217363
211;234;52,06045157976831;48,81561877216012
211;486;50,26824536875218;45,231206053792704
211;488;50,21482723683751;45,217636276659405
211;489;50,18939169009903;45,21013383773843
211;493;50,079020832606346;45,18554396069834
212;234;52,00292508737274;48,7683654755641
212;484;50,261958440378194;45,22919383837561
212;485;50,23540716669287;45,22438464020825
212;486;50,20824817900749;45,21575405200333
212;490;50,08341043590594;45,16770061057196
212;493;50,023508484330584;45,16864266455663
213;234;51,95341249668045;48,721483069570276
213;483;50,227044025157234;45,22237572071435
213;491;50,01740313186622;45,167041489730074
213;492;49,994438342312186;45,16068276626841
213;493;49,97360852057803;45,154485628287134
214;235;51,926770548983924;48,69622706359108
214;483;50,163954462913814;45,205770028479115
215;236;51,90478175204608;48,676285668393085
215;483;50,08341043590594;45,16770061057196
216;236;51,85836455140576;48,62903862903035
216;482;50,06115898545163;45,1795619678148
217;236;51,813380946982576;48,58289080049212
217;482;50,00319087722969;45,16211364790901
218;237;51,78727743056211;48,555649431350105
218;478;50,04227710339054;45,17501498082633
218;479;50,01844973406574;45,16726501497873
218;480;49,99485677423854;45,16038632199143
218;481;49,97031239104665;45,15279370469774
218;482;49,951023965141616;45,146819772302926
219;237;51,74278279561782;48,50391804985835
219;477;50,00891051126456;45,16456745996188
220;237;51,70298465304585;48,448812318396655
220;475;49,988490513392854;45,15023486331518
220;476;49,97507234250253;45,15455844470322
221;237;51,663719976677264;48,37534876865651
221;472;50,012816712295326;45,16484215841715
221;473;49,98913858330864;45,15804098944333
221;474;49,96529424069168;45,15045771381967
222;237;51,55637669713039;48,24107068072176
222;238;51,651543911744255;48,364384897812705
222;471;49,97833097989994;45,15512915249629
223;239;51,55637669713039;48,24107068072176
223;471;49,920915966679445;45,13326016125353
224;240;51,58546928359665;48,269386308345105
224;471;49,86911085953148;45,12053802465961
225;240;51,536320383621174;48,205482234814646
225;471;49,809133326369306;45,101571540631234
226;240;51,480178765099666;48,12960318190425
226;470;49,77662129703763;45,093819488842215
227;241;51,445077633078604;48,08128102629179
227;469;49,73697581346789;45,077801800664936
228;241;51,389267001062855;48,005282077991474
228;468;49,70425328346525;45,071328663350144
229;239;51,27844150052953;47,852148158483445
229;240;51,304009074342666;47,888236711746345
229;468;49,64817165411834;45,05742986811385
230;237;51,17808929464269;47,70760175081749
230;238;51,17879321531189;47,720423975364184
